speaker_alpha,listener_alpha,guess_cost,block_type,theta,student_a,student_b,first_examples_a,first_examples_b,teacher_knowledge,feedback_choice,first_guess
16,16,0.1,,0.01,9,1,0,5,0.5762754877231439,0.13333543135236456,0.5433837288678448
16,16,0.1,,0.01,9,1,1,4,0.6649043098990518,0.16757211789126625,0.0026435303378593727
16,16,0.1,,0.01,9,1,2,3,0.5745144219927181,0.09266523670684071,6.883039727495046e-22
16,16,0.1,,0.01,9,1,3,2,0.3938453762997748,0.9264744014893309,1.8476430285260952e-47
16,16,0.1,,0.01,9,1,4,1,0.015532720566025603,0.16988594898756715,3.9983020307437954e-73
16,16,0.1,,0.01,9,1,5,0,0.39023499516063187,0.317604206207488,8.69218073776196e-101
16,16,0.1,,0.01,1,9,0,5,0.3902349951606318,0.31760420620748747,0.7809672600085413
16,16,0.1,,0.01,1,9,1,4,0.015532720566025575,0.1698859489875671,0.023299038424184987
16,16,0.1,,0.01,1,9,2,3,0.39384537629977523,0.9264744014893309,2.9417117088716555e-21
16,16,0.1,,0.01,1,9,3,2,0.5745144219927182,0.09266523670684113,3.8908164577442792e-47
16,16,0.1,,0.01,1,9,4,1,0.6649043098990518,0.16757211789126625,4.0828592464579316e-73
16,16,0.1,,0.01,1,9,5,0,0.576275487723144,0.13333543135236514,1.8120538311479977e-100
16,16,0.1,,0.3,9,1,0,5,0.5762754877231439,0.13333543135236456,0.4077969604507323
16,16,0.1,,0.3,9,1,1,4,0.6649043098990518,0.16757211789126625,4.827540918606428e-9
16,16,0.1,,0.3,9,1,2,3,0.5745144219927181,0.09266523670684071,0.13822836701092306
16,16,0.1,,0.3,9,1,3,2,0.3938453762997748,0.9264744014893309,0.40923193555033777
16,16,0.1,,0.3,9,1,4,1,0.015532720566025603,0.16988594898756715,0.976700919137273
16,16,0.1,,0.3,9,1,5,0,0.39023499516063187,0.317604206207488,0.023417972724742227
16,16,0.1,,0.3,1,9,0,5,0.3902349951606318,0.31760420620748747,0.19561476726671645
16,16,0.1,,0.3,1,9,1,4,0.015532720566025575,0.1698859489875671,4.243854189907189e-8
16,16,0.1,,0.3,1,9,2,3,0.39384537629977523,0.9264744014893309,0.5907680644496627
16,16,0.1,,0.3,1,9,3,2,0.5745144219927182,0.09266523670684113,0.8617716329890771
16,16,0.1,,0.3,1,9,4,1,0.6649043098990518,0.16757211789126625,0.9973564648345996
16,16,0.1,,0.3,1,9,5,0,0.576275487723144,0.13333543135236514,0.04881931068142278
16,16,0.1,,0.7,9,1,0,5,0.5762754877231439,0.13333543135236456,0.04881931068142287
16,16,0.1,,0.7,9,1,1,4,0.6649043098990518,0.16757211789126625,0.9973564648345996
16,16,0.1,,0.7,9,1,2,3,0.5745144219927181,0.09266523670684071,0.861771632989077
16,16,0.1,,0.7,9,1,3,2,0.3938453762997748,0.9264744014893309,0.5907680644496622
16,16,0.1,,0.7,9,1,4,1,0.015532720566025603,0.16988594898756715,4.2438541899071584e-8
16,16,0.1,,0.7,9,1,5,0,0.39023499516063187,0.317604206207488,0.19561476726671645
16,16,0.1,,0.7,1,9,0,5,0.3902349951606318,0.31760420620748747,0.023417972724742275
16,16,0.1,,0.7,1,9,1,4,0.015532720566025575,0.1698859489875671,0.9767009191372731
16,16,0.1,,0.7,1,9,2,3,0.39384537629977523,0.9264744014893309,0.40923193555033727
16,16,0.1,,0.7,1,9,3,2,0.5745144219927182,0.09266523670684113,0.13822836701092286
16,16,0.1,,0.7,1,9,4,1,0.6649043098990518,0.16757211789126625,4.8275409186063934e-9
16,16,0.1,,0.7,1,9,5,0,0.576275487723144,0.13333543135236514,0.4077969604507324
16,16,0.1,,0.99,9,1,0,5,0.5762754877231439,0.13333543135236456,1.8120538311481007e-100
16,16,0.1,,0.99,9,1,1,4,0.6649043098990518,0.16757211789126625,4.0828592464580485e-73
16,16,0.1,,0.99,9,1,2,3,0.5745144219927181,0.09266523670684071,3.890816457744445e-47
16,16,0.1,,0.99,9,1,3,2,0.3938453762997748,0.9264744014893309,2.9417117088716765e-21
16,16,0.1,,0.99,9,1,4,1,0.015532720566025603,0.16988594898756715,0.02329903842418504
16,16,0.1,,0.99,9,1,5,0,0.39023499516063187,0.317604206207488,0.7809672600085413
16,16,0.1,,0.99,1,9,0,5,0.3902349951606318,0.31760420620748747,8.692180737762454e-101
16,16,0.1,,0.99,1,9,1,4,0.015532720566025575,0.1698859489875671,3.9983020307437954e-73
16,16,0.1,,0.99,1,9,2,3,0.39384537629977523,0.9264744014893309,1.847643028526174e-47
16,16,0.1,,0.99,1,9,3,2,0.5745144219927182,0.09266523670684113,6.883039727495095e-22
16,16,0.1,,0.99,1,9,4,1,0.6649043098990518,0.16757211789126625,0.0026435303378593775
16,16,0.1,,0.99,1,9,5,0,0.576275487723144,0.13333543135236514,0.5433837288678448
